axis,axis_no,formula,n,r_squared,adj_r_squared,sigma,aic
pco2,2,pco2 ~ turb + temp + nh3 + temp:nh3 + ph2:temp + ph2,38,0.5621984736732529,0.4774626943842051,0.1674984108680212,-19.692819324512982
pco3,3,pco3 ~ temp + toc + temp:toc + turb + temp:turb + log_chla +      vel + log_temp,40,0.4571294422125392,0.3170338143964202,0.1869793737591378,-10.82116484592975
pco4,4,pco4 ~ temp + toc + temp:toc + cod + temp:cod + cfpom + temp:cfpom +      turb,40,0.62331111649658,0.5261010820440846,0.1425073298034432,-32.549554799108584
pco5,5,pco5 ~ ph2 + cod,40,0.361927623397407,0.32743722466213165,0.15209459498169453,-32.26358830644249
pco6,6,pco6 ~ do + do:temp + temp,24,0.25173734892460187,0.13949795126329223,0.1879429730142405,-6.5042692347442035
